sep=;
STOCK;LAST PRICE;52 WRK LOW;52 WRK HIGH;SENTIMENT;BUYQT;SELLQT;SECTOR;MARKET CAP (RS CR);P/E;BOOK VALUE (RS);DIV (%);MARKET LOT;INDUSTRY P/E;EPS (TTM);P/C;PRICE/BOOK;DIV YIELD.(%);FACE VALUE (RS);DELIVERABLES (%)
Prabhat Dairy Ltd.;220.70;99.00;258.00;BUY;5820;1482;FOOD PROCESSING;2,155.71;126.11;57.06;4.00%;1;67.15;1.75;65.10;3.87;0.18%;10.00;34.15
RT Exports Ltd.;9.45;8.55;11.20;BUY;1000;-;FOOD PROCESSING;4.12;-;21.03;0.00%;1;39.57;-;-;0.45;-%;10.00;
Sita Shree Food Products Ltd.;4.95;3.16;8.70;BUY;8260;8555;FOOD PROCESSING;13.78;-;-41.00;0.00%;1;67.15;-;-;-;-%;10.00;100
Sysco Industries Ltd.;64.00;30.15;75.40;BUY;2500;7500;PACKAGING;50.90;-;41.59;0.00%;2500;27.51;* -;-;1.54;-%;10.00;
Tai Industries Ltd.;18.25;15.95;34.70;SELL;195;50;TRADING;10.95;-;30.87;0.00%;1;64.09;-;-;0.59;-%;10.00;
Tarai Foods Ltd.;7.95;2.88;9.68;-;2;1900;FOOD PROCESSING;14.09;-;-15.76;0.00%;1;67.15;-;265.00;-;-%;10.00;100
Tasty Bite Eatables Ltd.;9435.15;3682.00;11090.00;-;155;34;FOOD PROCESSING;2,421.06;96.97;334.24;20.00%;1;67.15;97.30;71.11;28.23;0.02%;10.00;59.80
T and I Global Ltd.;92.20;26.20;102.90;-;1580;2015;TRADING;46.72;7.80;44.13;5.00%;1;64.09;11.82;7.03;2.09;0.54%;10.00;83.05
Transglobe Foods Ltd.;6.12;4.18;16.84;-;-;780;FOOD PROCESSING;1.77;-;-0.01;0.00%;1;67.15;-;-;-;-%;10.00;100
Umang Dairies Ltd.;91.55;64.50;106.95;BUY;26.01;1504;FOOD PROCESSING;201.44;-;15.26;0.00%;1;67.15;-;-;6.00;-%;5.00;69.58
Usher Agro Ltd.;8.74;5.82;13.99;BUY;31.82;8250;FOOD PROCESSING;67.88;-;-33.51;0.00%;1;67.15;-;-;-;-%;10.00;100
Vadilal Enterprises Ltd.;905.85;380.00;962.00;-;109;195;FOOD PROCESSING;78.14;-;47.68;8.00%;1;67.15;-;8.51;19.00;0.09%;10.00;100
Vadilal Industries Ltd.;938.05;510.00;1174.00;BUY;1194;296;FOOD PROCESSING;674.25;65.78;117.62;12.50%;1;67.15;14.26;27.38;7.98;0.13%;10.00;68.41
Vaghani Techno-Build Ltd.;5.67;5.67;8.85;-;60;-;FOOD PROCESSING;2.96;70.88;14.06;0.00%;1;45.02;0.08;70.88;0.40;-%;10.00;
Vikas Granaries Ltd.;6.78;4.32;11.54;-;2589;333;FOOD PROCESSING;12.28;-;40.30;0.00%;1;67.15;-;11.89;0.17;-%;10.00;100
Asahi India Glass Ltd.;381.25;191.85;438.55;-;375;8456;GLASS & GLASS PRODUCTS;9,267.80;61.49;20.58;100.00%;1;47.91;6.20;36.24;18.53;0.26%;1.00;71.29
Binani Industries Ltd.;144.45;67.05;152.80;-;1748;3676;MISCELLANEOUS;453.08;47.05;709.87;0.00%;1;37.72;3.07;40.01;0.20;-%;10.00;100
Borosil Glass Works Ltd.;1106.25;790.00;10188.00;BUY;1345;8234;GLASS & GLASS PRODUCTS;2,555.44;20.47;334.09;250.00%;1;47.91;54.03;19.56;3.31;0.23%;1.00;75.57
Empire Industries Ltd.;2326.00;1560.10;2598.00;BUY;175;106;GLASS & GLASS PRODUCTS;1,395.60;38.48;304.10;250.00%;1;47.91;60.45;30.86;7.65;1.07%;10.00;88.37
Gujarat Borosil Ltd.;129.20;76.00;174.75;-;400;2148;GLASS & GLASS PRODUCTS;881.24;79.26;9.08;0.00%;1;47.91;1.63;34.55;14.23;-%;5.00;100
Haldyn Glass Ltd.;50.60;30.60;54.95;BUY;7457;28.63;GLASS & GLASS PRODUCTS;271.98;25.05;24.25;55.00%;1;47.91;2.02;12.37;2.09;1.09%;1.00;79.03
Hindusthan National Glass and Industries Ltd.;162.25;74.20;193.60;-;500;10;GLASS & GLASS PRODUCTS;1,453.01;-;44.13;0.00%;1;47.91;-;-;3.68;-%;2.00;76.58
La Opala RG Ltd.;669.15;447.00;744.00;-;468;1819;GLASS & GLASS PRODUCTS;3,713.78;58.65;49.30;100.00%;1;47.91;11.41;48.99;13.57;0.30%;2.00;38.65
Nile Ltd.;961.40;352.25;1164.00;BUY;908;3586;METALS - NON FERROUS;288.60;9.53;327.88;30.00%;1;45.21;100.83;8.57;2.93;0.31%;10.00;81.32
Saint-Gobain Sekurit Ltd.;62.05;43.10;76.90;BUY;9245;3067;GLASS & GLASS PRODUCTS;565.31;83.85;9.51;0.00%;1;47.91;0.74;39.03;6.52;-%;10.00;100
Sezal Glass Ltd.;4.84;3.75;10.14;-;200;59;GLASS & GLASS PRODUCTS;16.24;-;-33.92;0.00%;1;47.91;-;-;-;-%;10.00;100
Swiss Glascoat Equipments Ltd.;225.80;142.55;243.00;BUY;4895;4245;GLASS & GLASS PRODUCTS;146.77;45.34;70.57;20.00%;1;47.91;4.98;25.40;3.20;0.89%;10.00;87.41
Triveni Glass Ltd.;24.00;15.80;38.45;-;10.49;5350;GLASS & GLASS PRODUCTS;30.29;75.00;-33.41;0.00%;1;47.91;0.32;26.67;-;-%;10.00;100
Apollo Hospitals Enterprises Ltd.;1125.90;959.00;1356.75;-;1506;968;HOSPITALS & MEDICAL SERVICES;15,664.10;68.99;257.25;120.00%;1;51.74;16.32;33.49;4.38;0.53%;5.00;38.84
Chennai Meenakshi Multispeciality Hospital Ltd.;17.51;10.60;17.51;-;32.1;-;HOSPITALS & MEDICAL SERVICES;13.08;13.17;-7.68;0.00%;1;51.74;1.33;6.19;-;-%;10.00;100
Dhan Jeevan Ltd.;31.45;29.85;61.70;-;270;300;HOSPITALS & MEDICAL SERVICES;12.89;25.36;24.14;0.00%;1;51.74;1.24;14.63;1.30;-%;10.00;100
Dolphin Medical Services Ltd.;1.88;0.92;2.22;-;-;32.17;HOSPITALS & MEDICAL SERVICES;2.84;-;8.27;0.00%;1;51.74;-;-;0.23;-%;10.00;100
Dr Agrawals Eye Hospital Ltd.;777.70;276.00;781.55;BUY;408;499;HOSPITALS & MEDICAL SERVICES;365.52;31.03;63.82;15.00%;1;51.74;25.06;17.81;12.19;0.19%;10.00;100
Emed.com Technologies Ltd.;6.65;6.65;17.79;-;10;-;HOSPITALS & MEDICAL SERVICES;2.25;-;11.79;0.00%;1;51.74;-;-;0.56;-%;10.00;100
Fortis Healthcare  Ltd.;144.00;123.40;230.90;-;23.66;15.36;HOSPITALS & MEDICAL SERVICES;7,468.09;-;82.39;0.00%;1;51.74;-;-;1.75;-%;10.00;38.88
Fortis Malar Hospitals Ltd.;61.45;55.50;91.95;-;3162;8195;HOSPITALS & MEDICAL SERVICES;114.81;51.64;52.60;0.00%;1;51.74;1.19;18.62;1.17;-%;10.00;83.33
Healthcare Global Enterprises Ltd.;287.35;215.45;319.30;BUY;975;2749;HOSPITALS & MEDICAL SERVICES;2,496.49;121.24;63.68;0.00%;1;51.74;2.37;39.53;4.51;-%;10.00;72.05
Indraprastha Medical Corporation Ltd.;58.35;50.25;68.35;-;12.71;7853;HOSPITALS & MEDICAL SERVICES;534.91;26.17;25.18;18.00%;1;51.74;2.23;10.49;2.32;3.08%;10.00;53.34
KMC Speciality Hospitals Ltd.;23.75;9.30;30.90;BUY;3261;8215;HOSPITALS & MEDICAL SERVICES;387.33;60.90;1.19;0.00%;1;51.74;0.39;40.25;19.96;-%;1.00;100
Kovai Medical Center and Hospital Ltd.;1301.75;997.40;1480.00;-;500;944;HOSPITALS & MEDICAL SERVICES;1,424.41;23.02;215.07;25.00%;1;51.74;56.56;16.65;6.05;0.19%;10.00;100
Lotus Eye Care Hospital Ltd.;32.40;25.15;42.65;-;502;2000;HOSPITALS & MEDICAL SERVICES;67.38;170.53;24.00;0.00%;1;51.74;0.19;17.51;1.35;-%;10.00;100
Narayana Hrudayalaya Ltd.;290.35;280.70;349.00;-;1854;4755;HOSPITALS & MEDICAL SERVICES;5,933.62;72.23;51.79;0.00%;1;51.74;4.02;39.45;5.61;-%;10.00;76.71
NG Industries Ltd.;86.35;65.00;99.50;-;477;608;HOSPITALS & MEDICAL SERVICES;28.93;20.27;43.18;35.00%;1;51.74;4.26;14.46;2.00;4.05%;10.00;99.70
Opto Circuits India Ltd.;10.10;6.84;12.24;-;9644;65.84;HOSPITALS & MEDICAL SERVICES;290.37;-;32.61;0.00%;1;45.75;-;-;0.31;-%;10.00;100
Poly Medicure Ltd.;269.20;190.10;319.90;-;21;451;HOSPITALS & MEDICAL SERVICES;2,375.07;40.30;29.70;60.00%;1;45.75;6.68;29.04;9.06;1.11%;5.00;95.17
Span Diagnostic Ltd.;48.75;36.20;80.00;BUY;300;395;HOSPITALS & MEDICAL SERVICES;26.63;-;88.18;0.00%;1;45.75;-;-;0.55;-%;10.00;100
Thyrocare Technologies Ltd.;696.00;611.10;779.90;-;536;1092;HOSPITALS & MEDICAL SERVICES;3,739.16;44.62;78.26;100.00%;1;51.74;15.60;39.15;8.89;1.44%;10.00;93.13
Transgene Biotek Ltd.;2.62;1.69;3.49;-;3450;3300;HOSPITALS & MEDICAL SERVICES;19.85;-;5.47;0.00%;1;45.75;-;4.09;0.48;-%;10.00;100
Advani Hotels and Resorts (India) Ltd.;81.10;50.00;88.00;BUY;878;7195;HOTELS;374.84;46.61;9.34;30.00%;1;75.90;1.74;31.93;8.68;0.74%;2.00;30.53
Asian Hotels (East) Ltd.;343.75;192.25;351.90;BUY;551;949;HOTELS;396.27;27.43;770.77;20.00%;1;75.90;12.53;19.02;0.45;0.58%;10.00;45.60
Asian Hotels (North) Ltd.;294.40;100.55;294.70;-;1989;5;HOTELS;572.70;-;282.77;0.00%;1;75.90;-;38.84;1.04;-%;10.00;56.57
Benares Hotels Ltd.;1125.65;1050.00;1387.90;-;34;92;HOTELS;146.33;28.30;470.48;150.00%;1;75.90;39.78;14.90;2.39;1.33%;10.00;100
Best Eastern Hotels Ltd.;71.50;29.00;81.00;-;-;2050;HOTELS;120.48;-;2.00;0.00%;1;75.90;-;183.33;35.75;-%;1.00;
CHL Ltd.;20.90;15.40;32.95;-;100;890;HOTELS;114.57;18.33;18.08;0.00%;1;75.90;1.14;13.57;1.16;-%;2.00;100
Country Club Hospitality & Holidays Ltd.;17.45;11.68;22.00;-;7439;160;HOTELS;285.25;-;40.22;0.00%;1;75.90;-;290.83;0.43;-%;2.00;100
EIH Ltd.;205.45;94.85;231.50;-;4930;3294;HOTELS;11,742.89;99.25;44.78;45.00%;1;75.90;2.07;51.23;4.59;0.44%;2.00;35.19
EIH Associated Hotels Ltd.;556.75;286.05;635.00;-;68;116;HOTELS;1,696.31;40.73;92.24;45.00%;1;75.90;13.67;30.37;6.04;0.81%;10.00;11.89
Fomento Resorts and Hotels Ltd.;156.00;108.30;180.00;-;652;224;HOTELS;249.60;19.67;60.95;10.00%;1;75.90;7.93;16.22;2.56;0.64%;10.00;100
Hotel Leela Venture Ltd.;22.25;15.75;27.25;BUY;22.26;14.37;HOTELS;1,402.98;-;-3.42;0.00%;1;75.90;-;9.39;-;-%;2.00;35.94
Hotel Rugby Ltd.;3.00;2.26;5.80;-;-;500;HOTELS;4.30;-;6.26;0.00%;1;75.90;-;-;0.48;-%;10.00;100
HS India Ltd.;13.93;5.90;17.00;-;50;8554;HOTELS;22.62;14.36;16.03;0.00%;1;75.90;0.97;5.40;0.87;-%;10.00;89.27
Indian Hotels Company Ltd.;148.05;97.70;149.50;-;22.12;29.68;HOTELS;17,606.97;160.92;34.48;35.00%;1;75.90;0.92;67.60;4.29;0.24%;1.00;49.63
India Tourism Development Corporation Ltd.;516.60;213.10;745.80;BUY;2457;845;HOTELS;4,430.85;263.57;40.13;13.30%;1;75.90;1.96;179.38;12.87;0.26%;10.00;57.26
James Hotels Ltd.;22.05;17.15;32.20;-;-;100;HOTELS;17.64;-;-65.23;0.00%;1;75.90;-;-;-;-%;10.00;100
Jindal Hotels Ltd.;67.90;37.65;74.90;BUY;405;433;HOTELS;40.74;-;41.33;8.00%;1;75.90;-;7.23;1.64;1.18%;10.00;97.38
Kamat Hotels (India) Ltd.;141.90;29.70;153.00;-;1016;2532;HOTELS;343.01;4.51;-29.41;0.00%;1;75.90;31.43;3.87;-;-%;10.00;29.79
Lakeland Hotels Ltd.;20.70;15.25;27.45;-;100;467;HOTELS;22.80;20.29;22.81;0.00%;1;75.90;1.02;9.08;0.91;-%;10.00;100
Mac Charles (India) Ltd.;437.10;401.00;667.65;-;57;124;HOTELS;572.65;23.19;217.11;100.00%;1;75.90;18.85;19.26;2.01;2.29%;10.00;
Mahindra Holidays and Resorts India Ltd.;374.15;324.00;657.90;-;3946;516;HOTELS;4,985.69;37.91;50.66;50.00%;1;75.90;9.87;25.95;7.39;1.34%;10.00;73.04
Oriental Hotels Ltd.;53.10;22.30;56.65;BUY;2685;24.01;HOTELS;948.36;112.98;13.39;20.00%;1;75.90;0.47;28.40;3.97;0.38%;1.00;29.33
Polo Hotels Ltd.;9.30;6.36;14.48;-;12;1470;HOTELS;20.81;-;29.43;0.00%;1;75.90;-;-;0.32;-%;10.00;100
Ras Resorts and Apart Hotels Ltd.;45.00;26.10;51.00;-;1;3299;HOTELS;17.86;76.27;16.31;0.00%;1;75.90;0.59;31.25;2.76;-%;10.00;
Royale Manor Hotels and Industries Ltd.;13.00;8.73;15.90;-;2400;1025;HOTELS;22.01;11.40;20.92;0.00%;1;75.90;1.14;7.47;0.62;-%;10.00;100
Royal Orchid Hotels Ltd.;187.45;78.00;216.65;-;3291;2079;HOTELS;511.13;42.99;73.72;10.00%;1;75.90;4.36;31.66;2.54;0.53%;10.00;24.07
Savera Industries Ltd.;91.80;56.00;102.00;-;886;482;HOTELS;109.50;29.81;33.73;15.00%;1;75.90;3.08;13.48;2.72;1.63%;10.00;56.00
Speciality Restaurants Ltd.;173.70;59.50;195.35;SELL;1810;2719;HOTELS;815.65;-;60.73;0.00%;1;75.90;-;-;2.86;-%;10.00;31.42
Sterling Green Woods Ltd.;17.10;10.36;19.95;-;-;10.25;HOTELS;7.25;7.47;22.40;0.00%;1;75.90;2.29;4.26;0.76;-%;10.00;
Taj GVK Hotels & Resorts Ltd.;174.25;118.40;202.00;BUY;5932;2218;HOTELS;1,092.57;124.46;57.81;20.00%;1;75.90;1.40;40.62;3.01;0.23%;2.00;27.90
TGB Banquets and Hotels Ltd.;59.65;47.50;77.45;BUY;1914;1520;HOTELS;174.69;-;38.53;0.00%;1;75.90;-;662.78;1.55;-%;10.00;47.98
Velan Hotels Ltd.;7.55;5.12;9.39;-;1944;1540;HOTELS;24.13;-;7.34;0.00%;1;75.90;-;-;1.03;-%;10.00;92.18
Viceroy Hotels Ltd.;19.65;15.55;24.80;-;24.75;30.76;HOTELS;83.33;-;18.80;0.00%;1;75.90;-;-;1.05;-%;10.00;28.57
ABB India Ltd.;1544.35;1072.80;1619.45;-;2006;1357;INFRASTRUCTURE - GENERAL;32,726.07;82.81;154.92;200.00%;1;59.86;18.65;59.93;9.97;0.26%;2.00;52.02
Abhishek Infraventures Ltd.;4.25;3.85;60.00;BUY;3250;-;INFRASTRUCTURE - GENERAL;1.38;-;9.92;0.00%;1;45.02;-;-;0.43;-%;10.00;100
Adani Ports and Special Economic Zone Ltd.;433.05;283.60;443.35;-;4818;5493;INFRASTRUCTURE - GENERAL;89,682.57;31.43;81.44;65.00%;1;37.72;13.78;26.42;5.32;0.30%;2.00;31.96
A Infrastructure Ltd.;55.00;30.40;99.95;-;457;-;CEMENT - PRODUCTS & BUILDING MATERIALS;58.64;114.58;40.86;5.00%;1;35.66;0.48;21.65;1.35;0.91%;10.00;
Arvind SmartSpaces Ltd.;205.80;67.50;222.40;-;1912;872;INFRASTRUCTURE - GENERAL;652.89;30.67;60.17;0.00%;1;25.52;6.71;29.57;3.42;-%;10.00;67.59
BEML Ltd.;1537.90;1125.75;1947.45;BUY;938;943;INFRASTRUCTURE - GENERAL;6,404.51;48.07;523.82;80.00%;1;38.48;31.99;32.81;2.94;0.52%;10.00;23.33
BGR Energy Systems Ltd.;143.15;122.00;184.95;BUY;8633;3074;INFRASTRUCTURE - GENERAL;1,032.99;28.86;190.91;0.00%;1;35.66;4.96;17.29;0.75;-%;10.00;50.32
Bharat Heavy Electricals Ltd.;99.85;82.30;182.65;-;37.85;36.17;INFRASTRUCTURE - GENERAL;36,658.93;72.36;87.96;79.00%;1;38.48;1.38;27.06;1.14;1.58%;2.00;33.72
Brahmaputra Infrastructure Ltd.;35.95;18.75;50.00;-;100;200;INFRASTRUCTURE - GENERAL;104.32;-;43.50;0.00%;1;25.52;-;9.29;0.83;-%;10.00;99.38
Engineers India Ltd.;187.55;140.95;206.20;-;8194;3343;INFRASTRUCTURE - GENERAL;11,851.50;33.73;43.60;60.00%;1;40.61;5.56;31.68;4.30;1.60%;5.00;51.56
GMR Infrastructure Ltd.;24.10;12.41;24.40;-;2.3 L;2.78 L;INFRASTRUCTURE - GENERAL;14,546.63;-;10.80;0.00%;1;25.52;-;-;2.23;-%;1.00;25.83
Hindusthan Urban Infrastructure Ltd.;1422.00;667.50;1650.00;SELL;105;25;INFRASTRUCTURE - GENERAL;205.18;127.99;1873.52;10.00%;1;31.31;11.11;12.19;0.76;0.07%;10.00;100
ILandFS Transportation Networks Ltd.;83.75;70.00;124.80;-;32.96;7659;INFRASTRUCTURE - GENERAL;2,755.04;11.18;86.00;20.00%;1;33.86;7.49;10.59;0.97;2.39%;10.00;57.58
IRB Infrastructure Developers Ltd.;246.65;193.80;272.40;-;1994;3520;INFRASTRUCTURE - GENERAL;8,668.51;21.17;71.29;50.00%;1;45.02;11.65;21.17;3.46;2.03%;10.00;21.67
Ishaan Infrastructures And Shelters  Ltd.;15.58;7.70;28.45;-;1358;758;INFRASTRUCTURE - GENERAL;10.09;22.91;9.03;0.00%;1;45.02;0.68;22.91;1.73;-%;10.00;100
Jaiprakash Associates Ltd.;22.75;9.15;30.40;-;2.01 L;1.16 L;INFRASTRUCTURE - GENERAL;5,533.84;-;31.08;0.00%;1;45.02;-;-;0.73;-%;2.00;17.24
Jaypee Infratech Ltd.;17.45;7.90;25.60;-;-;36.79;INFRASTRUCTURE - GENERAL;2,423.69;-;38.47;0.00%;1;45.02;-;-;0.45;-%;10.00;64.91
Lanco Infratech Ltd.;2.23;0.75;4.60;-;-;26.45 L;INFRASTRUCTURE - GENERAL;739.04;-;3.13;0.00%;1;25.52;-;-;0.71;-%;1.00;100
Larsen & Toubro Ltd.;1352.25;1114.55;1834.00;-;3752;7129;INFRASTRUCTURE - GENERAL;189,454.50;48.47;290.53;1050.00%;1;23.14;27.90;36.98;4.65;1.55%;2.00;74.08
Maxheights Infrastructure Ltd.;57.00;43.05;62.00;-;410;111;INFRASTRUCTURE - GENERAL;88.97;103.64;17.49;0.00%;1;45.02;0.55;85.07;3.26;-%;10.00;100
MEP Infrastructure Developers Ltd.;95.50;38.30;148.00;-;8366;13.61;INFRASTRUCTURE - GENERAL;1,552.54;71.27;36.97;2.50%;1;25.52;1.34;2.67;2.58;0.26%;10.00;44.58
NBCC (India) Ltd.;244.80;161.10;291.75;-;14.79;6065;INFRASTRUCTURE - GENERAL;22,032.00;59.85;18.60;81.50%;1;45.02;4.09;59.42;13.16;0.67%;2.00;41.60
Power Mech Projects Ltd.;873.40;389.95;930.00;-;797;718;INFRASTRUCTURE - GENERAL;1,284.84;21.28;419.53;10.00%;1;40.61;41.04;12.85;2.08;0.11%;10.00;63.56
Punj Lloyd Ltd.;25.00;17.70;29.15;-;74.74;46.56;INFRASTRUCTURE - GENERAL;838.99;-;6.06;0.00%;1;45.02;-;-;4.13;-%;2.00;42.40
Reliance Industrial Infrastructure Ltd.;582.55;388.70;684.00;-;3400;2550;INFRASTRUCTURE - GENERAL;879.65;60.68;207.18;35.00%;1;40.61;9.60;30.40;2.81;0.60%;10.00;22.87
Sadbhav Engineering Ltd.;414.45;262.00;438.85;-;3688;3035;INFRASTRUCTURE - GENERAL;7,110.75;33.92;96.81;75.00%;1;45.02;12.22;22.96;4.28;0.18%;1.00;55.45
Sadbhav Infrastructure Projects Ltd.;146.75;89.65;157.50;BUY;4921;1556;INFRASTRUCTURE - GENERAL;5,168.91;77.24;38.12;0.00%;1;40.61;1.90;76.43;3.85;-%;10.00;60.52
Siemens Ltd.;1312.40;1123.30;1470.00;-;1690;445;INFRASTRUCTURE - GENERAL;46,737.22;41.26;216.35;350.00%;1;47.47;31.81;35.16;6.07;0.53%;2.00;41.40
Texmaco Infrastructure & Holdings Ltd.;65.95;39.50;78.80;-;8128;10.15;INFRASTRUCTURE - GENERAL;840.38;62.22;32.37;20.00%;1;45.02;1.06;52.76;2.04;0.30%;1.00;57.81
Texmaco Rail and Engineering Ltd.;115.25;84.00;128.80;-;7693;22.12;INFRASTRUCTURE - GENERAL;2,530.92;-;47.60;25.00%;1;38.48;-;320.14;2.42;0.22%;1.00;52.41
Thermax Ltd.;1335.30;786.55;1375.00;-;1448;348;INFRASTRUCTURE - GENERAL;15,910.94;123.07;202.24;300.00%;1;35.66;10.85;81.72;6.60;0.45%;2.00;59.39
Titagarh Wagons Ltd.;172.40;97.50;189.50;-;11.27;20.51;INFRASTRUCTURE - GENERAL;1,990.39;135.75;77.51;40.00%;1;38.48;1.27;75.95;2.22;0.46%;2.00;36.78
Va Tech Wabag Ltd.;620.05;480.00;749.00;-;3254;2429;INFRASTRUCTURE - GENERAL;3,388.70;43.09;150.79;200.00%;1;35.66;14.39;38.44;4.11;0.65%;2.00;67.23
Bata India Ltd.;732.70;456.70;833.00;-;2436;2145;LEATHER PRODUCTS;9,417.21;53.21;103.11;70.00%;1;50.72;13.77;38.91;7.11;0.48%;5.00;43.29
Bhartiya International Ltd.;499.75;454.25;698.80;-;869;1005;LEATHER PRODUCTS;607.79;37.72;167.96;12.00%;1;50.72;13.25;29.21;2.98;0.24%;10.00;56.67
Euro Leder Fashion Ltd.;19.95;12.65;29.45;BUY;194;51;LEATHER PRODUCTS;8.92;15.47;27.18;0.00%;1;50.72;1.29;10.13;0.73;-%;10.00;100
Lawreshwar Polymers Ltd.;52.10;31.90;82.90;-;3491;9333;LEATHER PRODUCTS;71.27;53.71;26.68;0.00%;1;50.72;0.97;21.89;1.95;-%;10.00;76.25
Liberty Shoes Ltd.;253.60;160.00;308.90;-;721;401;LEATHER PRODUCTS;432.13;100.63;94.89;0.00%;1;50.72;2.52;24.15;2.67;-%;10.00;52.54
Mayur Leather Products Ltd.;21.50;17.80;26.60;-;108;59;LEATHER PRODUCTS;10.39;-;27.49;10.00%;1;50.72;-;-;0.78;4.65%;10.00;100
Mirza International Ltd.;154.80;83.90;183.00;-;14.51;6656;LEATHER PRODUCTS;1,862.34;25.05;41.86;45.00%;1;50.72;6.18;18.02;3.70;0.58%;2.00;72.42
NB Footwear Ltd.;6.30;5.47;6.32;-;-;600;LEATHER PRODUCTS;8.51;-;-0.76;0.00%;100;50.72;-;-;-;-%;10.00;
Phoenix International Ltd.;18.00;8.60;19.59;-;50;350;LEATHER PRODUCTS;30.22;23.08;41.90;0.00%;1;50.72;0.78;15.38;0.43;-%;10.00;100
Relaxo Footwears Ltd.;651.20;403.00;723.50;BUY;217;66;LEATHER PRODUCTS;7,837.43;60.86;50.25;100.00%;1;50.72;10.70;43.47;12.96;0.15%;1.00;84.05
Superhouse Ltd.;179.35;136.05;227.95;BUY;1985;101;LEATHER PRODUCTS;204.81;25.73;225.70;10.00%;1;50.72;6.97;9.17;0.79;0.56%;10.00;64.96
Super Tannery Ltd.;7.21;3.75;9.89;-;1683;7375;LEATHER PRODUCTS;77.85;24.03;7.78;0.00%;1;50.72;0.30;7.36;0.93;-%;1.00;90.94
Worldwide Leather Export Ltd.;6.35;5.23;8.48;-;550;-;LEATHER PRODUCTS;1.89;-;22.26;0.00%;1;50.72;-;-;0.29;-%;10.00;100
Castrol India Ltd.;189.85;186.80;453.80;-;22.04;19.57;LUBRICANTS;18,778.49;28.85;6.02;220.00%;1;31.50;6.58;26.97;31.54;5.79%;5.00;42.52
GP Petroleums Ltd.;88.40;70.40;103.60;-;11.5;10.01;LUBRICANTS;450.70;28.52;29.96;15.00%;1;10.07;3.10;24.22;2.95;0.85%;5.00;55.35
Gulf Oil Lubricants India Ltd.;884.25;629.00;1098.50;BUY;287;336;LUBRICANTS;4,394.71;32.70;71.16;425.00%;1;31.50;27.04;31.03;12.43;0.96%;2.00;45.32
Tide Water Oil Ltd.;7280.70;5390.00;7925.00;-;137;172;LUBRICANTS;2,537.18;26.24;1845.02;2000.00%;1;31.50;277.43;24.38;3.95;1.37%;5.00;65.54
Birla Precision Technologies Ltd.;8.34;3.08;12.39;-;1800;300;MACHINE TOOLS;43.91;-;18.97;0.00%;1;35.66;-;-;0.44;-%;2.00;100
ITL Industries Ltd.;288.20;52.50;312.00;-;1146;734;MACHINE TOOLS;92.35;20.62;86.37;5.00%;1;35.66;13.98;17.24;3.34;0.17%;10.00;88.75
Kennametal India Ltd.;904.50;555.00;1009.00;-;607;417;MACHINE TOOLS;1,987.93;72.53;179.22;20.00%;1;35.66;12.47;35.71;5.05;0.22%;10.00;74.07
Kulkarni Power Tools Ltd.;58.80;24.35;65.00;-;230;845;MACHINE TOOLS;19.99;13.87;51.44;0.00%;1;35.66;4.24;3.92;1.14;-%;5.00;100
Lokesh Machines Ltd.;73.65;66.30;109.70;BUY;6089;4337;MACHINE TOOLS;125.45;45.46;76.74;0.00%;1;35.66;1.62;11.45;0.96;-%;10.00;54.30
Rapicut Carbides Ltd.;79.25;56.00;96.40;-;2393;2655;MACHINE TOOLS;42.57;14.38;41.70;15.00%;1;35.66;5.51;11.76;1.90;1.89%;10.00;73.61
Rishi Laser Ltd.;39.10;19.70;47.00;-;1428;455;MACHINE TOOLS;35.94;26.24;21.78;0.00%;1;35.66;1.49;6.85;1.80;-%;10.00;100
Solitaire Machine Tools Ltd.;58.00;33.00;68.70;-;685;1511;MACHINE TOOLS;26.34;20.35;25.59;12.50%;1;35.66;2.85;12.80;2.27;2.16%;10.00;95.27
United Drilling Tools Ltd.;317.70;181.05;317.70;BUY;1093;-;MACHINE TOOLS;324.96;85.40;97.93;0.00%;1;35.66;3.72;31.18;3.24;-%;10.00;100
Baba Arts Ltd.;2.97;2.21;4.47;-;15;8105;MEDIA & ENTERTAINMENT;17.83;297.00;3.67;0.00%;1;51.19;0.01;99.00;0.81;-%;1.00;93.32
BAG Films and Media Ltd.;7.00;3.92;9.10;-;3010;2427;MEDIA & ENTERTAINMENT;131.68;-;14.00;0.00%;1;51.19;-;22.58;0.50;-%;2.00;100
Balaji Telefilms Ltd.;157.20;85.00;203.00;-;9016;3948;MEDIA & ENTERTAINMENT;1,589.77;45.17;65.18;20.00%;1;51.19;3.48;33.88;2.41;0.25%;2.00;53.09
Cineline India Ltd.;102.00;66.25;121.00;BUY;3643;1044;MEDIA & ENTERTAINMENT;285.60;28.73;33.60;10.00%;1;51.19;3.55;21.12;3.04;0.49%;5.00;69.34
CNI Research Ltd.;3.42;2.11;4.40;BUY;13.6;3980;MEDIA & ENTERTAINMENT;39.26;-;1.98;0.00%;1;51.19;-;-;1.73;-%;1.00;92.86
Creative Eye Ltd.;4.94;3.40;5.65;-;-;6999;MEDIA & ENTERTAINMENT;9.91;-;18.54;0.00%;1;51.19;-;27.44;0.27;-%;5.00;100
Cyber Media (India) Ltd.;14.50;7.23;19.85;-;3127;3604;MEDIA & ENTERTAINMENT;18.66;-;13.57;0.00%;1;51.19;-;-;1.07;-%;10.00;100
